crop,target,task_type,count,with_images,gap_level
大白菜,刺儿菜,chemical_control,1,0,severe_gap
大白菜,刺吸性害虫,general_qa,1,0,severe_gap
大白菜,叶斑病,agronomic_control,3,2,thin
大白菜,叶斑病,biological_control,4,2,thin
大白菜,叶斑病,chemical_control,14,11,covered
大白菜,叶斑病,control_timing,1,1,severe_gap
大白菜,叶斑病,occurrence_condition,3,3,thin
大白菜,叶斑病,safety_correction,2,2,severe_gap
大白菜,叶斑病,symptom_diagnosis,6,6,thin
大白菜,叶枯病,occurrence_condition,1,1,severe_gap
大白菜,叶枯病,symptom_diagnosis,1,1,severe_gap
大白菜,叶腐病,biological_control,1,0,severe_gap
大白菜,叶腐病,chemical_control,3,1,thin
大白菜,叶腐病,occurrence_condition,1,1,severe_gap
大白菜,叶腐病,safety_correction,1,0,severe_gap
大白菜,叶腐病,symptom_diagnosis,1,0,severe_gap
大白菜,土传,agronomic_control,1,0,severe_gap
大白菜,土传,general_qa,1,0,severe_gap
大白菜,土传,occurrence_condition,1,1,severe_gap
大白菜,土传,symptom_diagnosis,1,1,severe_gap
大白菜,土蚕,occurrence_condition,1,0,severe_gap
大白菜,地下害虫,biological_control,1,0,severe_gap
大白菜,地下害虫,chemical_control,5,2,thin
大白菜,地下害虫,occurrence_condition,1,0,severe_gap
大白菜,地蛆,chemical_control,2,0,severe_gap
大白菜,多种,agronomic_control,1,1,severe_gap
大白菜,多种,biological_control,1,1,severe_gap
大白菜,多种,chemical_control,1,1,severe_gap
大白菜,夜蛾,chemical_control,2,0,severe_gap
大白菜,夜蛾,safety_correction,1,0,severe_gap
大白菜,夜蛾类,chemical_control,1,1,severe_gap
大白菜,大白菜,agronomic_control,1,0,severe_gap
大白菜,大白菜,chemical_control,1,0,severe_gap
大白菜,大白菜,symptom_diagnosis,1,0,severe_gap
大白菜,小猿叶甲,agronomic_control,1,1,severe_gap
大白菜,小猿叶甲,chemical_control,1,1,severe_gap
大白菜,小猿叶甲,safety_correction,1,1,severe_gap
大白菜,小猿叶甲,symptom_diagnosis,1,1,severe_gap
大白菜,小菜蛾,agronomic_control,1,0,severe_gap
大白菜,小菜蛾,biological_control,3,1,thin
大白菜,小菜蛾,chemical_control,21,5,covered
大白菜,小菜蛾,control_timing,1,0,severe_gap
大白菜,小菜蛾,general_qa,4,1,thin
大白菜,小菜蛾,occurrence_condition,2,0,severe_gap
大白菜,小菜蛾,safety_correction,8,1,covered
大白菜,小菜蛾,symptom_diagnosis,4,1,thin
大白菜,小虫,chemical_control,1,1,severe_gap
大白菜,小黑点病,chemical_control,1,1,severe_gap
大白菜,小黑点病,general_qa,2,0,severe_gap
大白菜,小黑点病,occurrence_condition,1,0,severe_gap
大白菜,小黑点病,symptom_diagnosis,2,1,severe_gap
大白菜,干心病,agronomic_control,1,0,severe_gap
大白菜,干心病,occurrence_condition,1,1,severe_gap
大白菜,干烧心,agronomic_control,14,1,covered
大白菜,干烧心,biological_control,3,1,thin
大白菜,干烧心,chemical_control,31,5,covered
大白菜,干烧心,control_timing,5,1,thin
大白菜,干烧心,general_qa,6,1,thin
大白菜,干烧心,occurrence_condition,17,4,covered
大白菜,干烧心,safety_correction,12,0,covered
大白菜,干烧心,symptom_diagnosis,15,6,covered
大白菜,干烧边,occurrence_condition,3,2,thin
大白菜,干烧边,symptom_diagnosis,2,2,severe_gap
大白菜,心叶被咬,occurrence_condition,1,1,severe_gap
大白菜,心腐型,chemical_control,1,0,severe_gap
大白菜,心腐病,chemical_control,1,1,severe_gap
大白菜,心腐病,occurrence_condition,1,1,severe_gap
大白菜,抽薹,occurrence_condition,1,0,severe_gap
大白菜,斑潜蝇,biological_control,1,1,severe_gap
大白菜,斑潜蝇,chemical_control,1,0,severe_gap
大白菜,斑潜蝇,occurrence_condition,1,1,severe_gap
大白菜,斑潜蝇,safety_correction,2,1,severe_gap
大白菜,斑点病,agronomic_control,1,0,severe_gap
大白菜,斑点病,chemical_control,3,2,thin
大白菜,斑点病,control_timing,1,0,severe_gap
大白菜,斑点病,symptom_diagnosis,1,1,severe_gap
大白菜,斜纹夜蛾,agronomic_control,1,1,severe_gap
大白菜,斜纹夜蛾,chemical_control,4,1,thin
大白菜,斜纹夜蛾,control_timing,1,1,severe_gap
大白菜,斜纹夜蛾,safety_correction,1,1,severe_gap
大白菜,斜纹夜蛾,symptom_diagnosis,2,1,severe_gap
大白菜,杂草,chemical_control,1,1,severe_gap
大白菜,杂草,general_qa,1,0,severe_gap
大白菜,枯萎病,chemical_control,1,1,severe_gap
大白菜,根瘤病,agronomic_control,2,1,severe_gap
大白菜,根瘤病,chemical_control,2,1,severe_gap
大白菜,根瘤病,occurrence_condition,1,1,severe_gap
大白菜,根癌病,chemical_control,1,0,severe_gap
大白菜,根癌病,occurrence_condition,1,0,severe_gap
大白菜,根癌病,safety_correction,1,0,severe_gap
大白菜,根线病,chemical_control,1,0,severe_gap
大白菜,根结线虫,agronomic_control,1,0,severe_gap
大白菜,根结线虫,biological_control,1,0,severe_gap
大白菜,根结线虫,chemical_control,2,1,severe_gap
大白菜,根结线虫,general_qa,3,2,thin
大白菜,根结线虫病,agronomic_control,1,0,severe_gap
大白菜,根结线虫病,biological_control,1,0,severe_gap
大白菜,根结线虫病,chemical_control,2,0,severe_gap
大白菜,根结线虫病,symptom_diagnosis,2,0,severe_gap
大白菜,根肿病,agronomic_control,19,6,covered
大白菜,根肿病,biological_control,2,0,severe_gap
大白菜,根肿病,chemical_control,37,9,covered
大白菜,根肿病,control_timing,1,1,severe_gap
大白菜,根肿病,general_qa,3,0,thin
大白菜,根肿病,occurrence_condition,1,0,severe_gap
大白菜,根肿病,safety_correction,4,3,thin
大白菜,根肿病,symptom_diagnosis,8,3,covered
大白菜,根腐病,agronomic_control,5,1,thin
大白菜,根腐病,biological_control,10,1,covered
大白菜,根腐病,chemical_control,25,8,covered
大白菜,根腐病,occurrence_condition,3,2,thin
大白菜,根腐病,safety_correction,5,1,thin
大白菜,根腐病,symptom_diagnosis,2,2,severe_gap
大白菜,根霉菌侵染,chemical_control,1,1,severe_gap
大白菜,根霉菌侵染,symptom_diagnosis,1,1,severe_gap
大白菜,棉铃虫,chemical_control,1,0,severe_gap
大白菜,棉铃虫,symptom_diagnosis,2,1,severe_gap
大白菜,横纹斑须蝽,agronomic_control,1,1,severe_gap
大白菜,横纹斑须蝽,chemical_control,1,1,severe_gap
大白菜,横纹斑须蝽,symptom_diagnosis,1,1,severe_gap
大白菜,毛尾地种蝇,agronomic_control,1,1,severe_gap
大白菜,毛尾地种蝇,chemical_control,1,1,severe_gap
大白菜,毛尾地种蝇,control_timing,1,1,severe_gap
大白菜,毛尾地种蝇,symptom_diagnosis,2,2,severe_gap
大白菜,毛毛虫,chemical_control,1,0,severe_gap
大白菜,毛毛虫,safety_correction,1,0,severe_gap
大白菜,沤根,chemical_control,1,1,severe_gap
大白菜,灰地种蝇,chemical_control,1,1,severe_gap
大白菜,灰地种蝇,symptom_diagnosis,1,1,severe_gap
大白菜,灰霉病,biological_control,2,0,severe_gap
大白菜,灰霉病,chemical_control,7,1,thin
大白菜,灰霉病,safety_correction,2,0,severe_gap
大白菜,灰霉病,symptom_diagnosis,2,1,severe_gap
大白菜,炭疽病,agronomic_control,10,4,covered
大白菜,炭疽病,biological_control,2,1,severe_gap
大白菜,炭疽病,chemical_control,23,12,covered
大白菜,炭疽病,control_timing,4,1,thin
大白菜,炭疽病,general_qa,1,0,severe_gap
大白菜,炭疽病,occurrence_condition,5,4,thin
大白菜,炭疽病,safety_correction,3,3,thin
大白菜,炭疽病,symptom_diagnosis,11,9,covered
大白菜,点灰灯蛾,chemical_control,1,1,severe_gap
大白菜,烂心,general_qa,1,0,severe_gap
大白菜,烂根,chemical_control,1,0,severe_gap
大白菜,烂根,control_timing,1,0,severe_gap
大白菜,烂根,occurrence_condition,1,0,severe_gap
大白菜,烂根病,chemical_control,2,0,severe_gap
大白菜,烧心,chemical_control,1,0,severe_gap
大白菜,烧心,general_qa,2,0,severe_gap
大白菜,烧心,occurrence_condition,1,0,severe_gap
大白菜,烧心,symptom_diagnosis,1,0,severe_gap
大白菜,烧边病,occurrence_condition,1,0,severe_gap
大白菜,猝倒病,agronomic_control,1,1,severe_gap
大白菜,猝倒病,biological_control,1,1,severe_gap
大白菜,猝倒病,chemical_control,7,3,thin
大白菜,猝倒病,control_timing,1,0,severe_gap
大白菜,猝倒病,occurrence_condition,1,0,severe_gap
大白菜,猝倒病,symptom_diagnosis,5,4,thin
大白菜,甘蓝夜蛾,chemical_control,1,1,severe_gap
大白菜,甜菜夜蛾,agronomic_control,2,2,severe_gap
大白菜,甜菜夜蛾,biological_control,2,1,severe_gap
大白菜,甜菜夜蛾,chemical_control,8,3,covered
大白菜,甜菜夜蛾,control_timing,1,1,severe_gap
大白菜,甜菜夜蛾,safety_correction,1,0,severe_gap
大白菜,甜菜夜蛾,symptom_diagnosis,4,2,thin
大白菜,生理,occurrence_condition,1,1,severe_gap
大白菜,生理,symptom_diagnosis,1,1,severe_gap
大白菜,生理性,biological_control,1,0,severe_gap
大白菜,生理性,chemical_control,1,0,severe_gap
大白菜,生理性,symptom_diagnosis,1,1,severe_gap
大白菜,生理性急性萎蔫,agronomic_control,1,1,severe_gap
大白菜,生理性急性萎蔫,biological_control,1,1,severe_gap
大白菜,生理性急性萎蔫,chemical_control,1,1,severe_gap
大白菜,生理性急性萎蔫,occurrence_condition,1,1,severe_gap
大白菜,生理性急性萎蔫,symptom_diagnosis,1,1,severe_gap
大白菜,生理性沤根,chemical_control,1,1,severe_gap
大白菜,疫病,chemical_control,2,1,severe_gap
大白菜,疫病,occurrence_condition,1,1,severe_gap
大白菜,疫病,safety_correction,1,0,severe_gap
大白菜,疫病,symptom_diagnosis,3,2,thin
大白菜,病毒病,agronomic_control,8,3,covered
大白菜,病毒病,biological_control,3,1,thin
大白菜,病毒病,chemical_control,46,23,covered
大白菜,病毒病,control_timing,4,2,thin
大白菜,病毒病,general_qa,12,6,covered
大白菜,病毒病,occurrence_condition,8,6,covered
大白菜,病毒病,safety_correction,7,3,thin
大白菜,病毒病,symptom_diagnosis,27,15,covered
大白菜,白斑病,agronomic_control,11,5,covered
大白菜,白斑病,biological_control,5,2,thin
大白菜,白斑病,chemical_control,29,18,covered
大白菜,白斑病,occurrence_condition,5,1,thin
大白菜,白斑病,safety_correction,7,3,thin
大白菜,白斑病,symptom_diagnosis,17,12,covered
大白菜,白点病,biological_control,1,1,severe_gap
大白菜,白点病,chemical_control,1,1,severe_gap
大白菜,白粉病,biological_control,1,0,severe_gap
大白菜,白粉病,chemical_control,4,0,thin
大白菜,白绢病,chemical_control,1,1,severe_gap
大白菜,白绢病,symptom_diagnosis,1,1,severe_gap
大白菜,白锈病,agronomic_control,1,0,severe_gap
大白菜,白锈病,biological_control,1,1,severe_gap
大白菜,白锈病,chemical_control,11,6,covered
大白菜,白锈病,safety_correction,2,1,severe_gap
大白菜,白锈病,symptom_diagnosis,1,0,severe_gap
大白菜,真菌性,chemical_control,1,0,severe_gap
大白菜,短额负蝗,biological_control,1,1,severe_gap
大白菜,短额负蝗,chemical_control,1,1,severe_gap
大白菜,短额负蝗,control_timing,1,1,severe_gap
大白菜,短额负蝗,symptom_diagnosis,1,1,severe_gap
大白菜,硝酸盐中毒,control_timing,1,0,severe_gap
大白菜,硝酸盐中毒,symptom_diagnosis,1,0,severe_gap
大白菜,碎倒病,agronomic_control,1,0,severe_gap
大白菜,碎倒病,biological_control,1,0,severe_gap
大白菜,碎倒病,chemical_control,1,0,severe_gap
大白菜,碎倒病,safety_correction,1,0,severe_gap
大白菜,立枯病,chemical_control,2,1,severe_gap
大白菜,立枯病,occurrence_condition,1,0,severe_gap
大白菜,立枯病,symptom_diagnosis,1,1,severe_gap
大白菜,箱霉病,general_qa,1,1,severe_gap
大白菜,粉虱,chemical_control,7,1,thin
大白菜,粉虱,occurrence_condition,1,1,severe_gap
大白菜,粉虱,safety_correction,2,0,severe_gap
大白菜,粉虱,symptom_diagnosis,2,1,severe_gap
大白菜,细菌性,chemical_control,7,7,thin
大白菜,细菌性,general_qa,1,1,severe_gap
大白菜,细菌性,occurrence_condition,1,1,severe_gap
大白菜,细菌性,safety_correction,6,5,thin
大白菜,细菌性,symptom_diagnosis,2,2,severe_gap
大白菜,细菌性叶枯病,chemical_control,1,1,severe_gap
大白菜,细菌性叶枯病,symptom_diagnosis,1,1,severe_gap
大白菜,细菌性斑点病,chemical_control,1,0,severe_gap
大白菜,细菌性褐斑病,agronomic_control,1,1,severe_gap
大白菜,细菌性褐斑病,chemical_control,1,1,severe_gap
大白菜,细菌性褐斑病,occurrence_condition,1,1,severe_gap
大白菜,细菌性褐斑病,symptom_diagnosis,1,1,severe_gap
大白菜,缺硼症,chemical_control,4,3,thin
大白菜,缺硼症,general_qa,2,2,severe_gap
大白菜,缺硼症,occurrence_condition,2,1,severe_gap
大白菜,缺硼症,safety_correction,4,2,thin
大白菜,缺硼症,symptom_diagnosis,6,4,thin
大白菜,缺素症,chemical_control,2,0,severe_gap
大白菜,缺素症,general_qa,2,2,severe_gap
大白菜,缺素症,symptom_diagnosis,1,0,severe_gap
大白菜,缺钙,agronomic_control,1,0,severe_gap
大白菜,缺钙,biological_control,1,0,severe_gap
大白菜,缺钙,chemical_control,3,0,thin
大白菜,缺钙,occurrence_condition,2,1,severe_gap
大白菜,缺钙,symptom_diagnosis,3,1,thin
大白菜,缺钙生理,chemical_control,1,0,severe_gap
大白菜,缺钙生理,safety_correction,1,0,severe_gap
大白菜,缺钙生理性,biological_control,2,2,severe_gap
大白菜,缺钙生理性,chemical_control,2,2,severe_gap
大白菜,缺钙生理性,symptom_diagnosis,2,2,severe_gap
大白菜,缺钾症,chemical_control,1,1,severe_gap
大白菜,缺钾症,safety_correction,1,1,severe_gap
大白菜,缺锰,chemical_control,1,1,severe_gap
大白菜,缺锰,symptom_diagnosis,1,1,severe_gap
大白菜,胃灼烧,chemical_control,1,0,severe_gap
大白菜,腐烂病,biological_control,3,2,thin
大白菜,腐烂病,chemical_control,6,3,thin
大白菜,腐烂病,occurrence_condition,2,1,severe_gap
大白菜,腐烂病,symptom_diagnosis,2,1,severe_gap
大白菜,臭烂,general_qa,1,0,severe_gap
大白菜,芝麻病,general_qa,1,0,severe_gap
大白菜,茎腐病,general_qa,1,1,severe_gap
大白菜,药害,chemical_control,1,0,severe_gap
大白菜,药害,occurrence_condition,1,0,severe_gap
大白菜,药害,safety_correction,1,0,severe_gap
大白菜,菌核病,agronomic_control,2,0,severe_gap
大白菜,菌核病,chemical_control,11,3,covered
大白菜,菌核病,general_qa,2,2,severe_gap
大白菜,菌核病,occurrence_condition,1,0,severe_gap
大白菜,菌核病,safety_correction,2,0,severe_gap
大白菜,菌核病,symptom_diagnosis,2,1,severe_gap
大白菜,菜叶蜂,agronomic_control,1,1,severe_gap
大白菜,菜叶蜂,chemical_control,1,1,severe_gap
大白菜,菜叶蜂,control_timing,1,1,severe_gap
大白菜,菜叶蜂,symptom_diagnosis,1,1,severe_gap
大白菜,菜潜蝇,chemical_control,1,1,severe_gap
大白菜,菜蝽,chemical_control,1,1,severe_gap
大白菜,菜蝽,control_timing,1,1,severe_gap
大白菜,菜蝽,symptom_diagnosis,1,1,severe_gap
大白菜,菜螟,chemical_control,4,0,thin
大白菜,菜螟,general_qa,1,0,severe_gap
大白菜,菜螟,symptom_diagnosis,1,0,severe_gap
大白菜,菜青虫,agronomic_control,4,2,thin
大白菜,菜青虫,biological_control,4,2,thin
大白菜,菜青虫,chemical_control,41,9,covered
大白菜,菜青虫,control_timing,2,0,severe_gap
大白菜,菜青虫,general_qa,6,1,thin
大白菜,菜青虫,occurrence_condition,4,1,thin
大白菜,菜青虫,safety_correction,10,2,covered
大白菜,菜青虫,symptom_diagnosis,9,3,covered
大白菜,萎蔫病,agronomic_control,1,0,severe_gap
大白菜,萎蔫病,chemical_control,1,0,severe_gap
大白菜,蓟马,chemical_control,1,0,severe_gap
大白菜,蓟马,safety_correction,1,0,severe_gap
大白菜,蔬菜蝗虫,chemical_control,1,0,severe_gap
大白菜,虫瘿,symptom_diagnosis,1,1,severe_gap
大白菜,蚜,agronomic_control,1,1,severe_gap
大白菜,蚜,biological_control,1,1,severe_gap
大白菜,蚜,chemical_control,1,1,severe_gap
大白菜,蚜,symptom_diagnosis,1,1,severe_gap
大白菜,蚜虫,agronomic_control,4,2,thin
大白菜,蚜虫,biological_control,2,1,severe_gap
大白菜,蚜虫,chemical_control,33,6,covered
大白菜,蚜虫,control_timing,4,1,thin
大白菜,蚜虫,general_qa,5,1,thin
大白菜,蚜虫,occurrence_condition,5,1,thin
大白菜,蚜虫,safety_correction,14,2,covered
大白菜,蚜虫,symptom_diagnosis,7,0,thin
大白菜,蛐蛐,chemical_control,2,1,severe_gap
大白菜,蛞蝓,agronomic_control,1,1,severe_gap
大白菜,蛞蝓,chemical_control,2,1,severe_gap
大白菜,蛞蝓,control_timing,1,1,severe_gap
大白菜,蛞蝓,symptom_diagnosis,1,1,severe_gap
大白菜,蜗牛,chemical_control,1,1,severe_gap
大白菜,蜗牛,symptom_diagnosis,1,1,severe_gap
大白菜,蝗虫,chemical_control,1,0,severe_gap
大白菜,蝗虫,safety_correction,1,0,severe_gap
大白菜,蟋蟀,chemical_control,2,1,severe_gap
大白菜,蟋蟀,general_qa,1,0,severe_gap
大白菜,裂球,occurrence_condition,1,0,severe_gap
大白菜,裂球,safety_correction,1,0,severe_gap
大白菜,褐斑病,agronomic_control,5,3,thin
大白菜,褐斑病,biological_control,2,1,severe_gap
大白菜,褐斑病,chemical_control,13,11,covered
大白菜,褐斑病,occurrence_condition,3,3,thin
大白菜,褐斑病,safety_correction,3,2,thin
大白菜,褐斑病,symptom_diagnosis,9,9,covered
大白菜,褐腐病,agronomic_control,2,1,severe_gap
大白菜,褐腐病,chemical_control,7,4,thin
大白菜,褐腐病,general_qa,1,1,severe_gap
大白菜,褐腐病,occurrence_condition,2,1,severe_gap
大白菜,褐腐病,symptom_diagnosis,4,4,thin
大白菜,角斑病,agronomic_control,6,2,thin
大白菜,角斑病,biological_control,2,2,severe_gap
大白菜,角斑病,chemical_control,15,7,covered
大白菜,角斑病,control_timing,1,0,severe_gap
大白菜,角斑病,general_qa,2,0,severe_gap
大白菜,角斑病,occurrence_condition,1,1,severe_gap
大白菜,角斑病,safety_correction,2,0,severe_gap
大白菜,角斑病,symptom_diagnosis,9,8,covered
大白菜,跳蚤虫,chemical_control,1,0,severe_gap
大白菜,跳蚤虫,safety_correction,1,0,severe_gap
大白菜,软腐病,agronomic_control,30,8,covered
大白菜,软腐病,biological_control,23,9,covered
大白菜,软腐病,chemical_control,142,44,covered
大白菜,软腐病,control_timing,10,3,covered
大白菜,软腐病,general_qa,14,5,covered
大白菜,软腐病,occurrence_condition,20,10,covered
大白菜,软腐病,safety_correction,31,8,covered
大白菜,软腐病,symptom_diagnosis,41,24,covered
大白菜,野火病,chemical_control,1,0,severe_gap
大白菜,钻蛀性害虫,chemical_control,1,0,severe_gap
大白菜,钻蛀性害虫,general_qa,1,0,severe_gap
大白菜,钻蛀性害虫,safety_correction,1,0,severe_gap
大白菜,钾钙不足,general_qa,1,1,severe_gap
大白菜,银纹夜蛾,biological_control,1,0,severe_gap
大白菜,银纹夜蛾,chemical_control,2,0,severe_gap
大白菜,银纹夜蛾,control_timing,1,0,severe_gap
大白菜,银纹夜蛾,symptom_diagnosis,2,1,severe_gap
大白菜,锈病,biological_control,1,1,severe_gap
大白菜,锈病,chemical_control,1,1,severe_gap
大白菜,锈病,symptom_diagnosis,1,1,severe_gap
